"","Suburb","Rooms","Type","Method","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount","Price"
"69","Airport West",3,"h","SP",2017-03-04,13.5,"3042",3,2,1,0,145,1965,"Moonee Valley City Council",-37.7203,144.8755,"Western Metropolitan",3464,770000
"71","Airport West",2,"h","S",2017-03-04,13.5,"3042",2,1,1,272,84,1950,"Moonee Valley City Council",-37.7294,144.888,"Western Metropolitan",3464,603000
"72","Airport West",3,"t","S",2017-03-04,13.5,"3042",3,2,2,239,134,2009,"Moonee Valley City Council",-37.7218,144.8837,"Western Metropolitan",3464,700000
"73","Airport West",3,"h","S",2017-03-04,13.5,"3042",2,1,1,290,116,1980,"Moonee Valley City Council",-37.7273,144.8744,"Western Metropolitan",3464,600000
"74","Airport West",2,"u","VB",2017-03-04,13.5,"3042",2,1,1,168,86,2011,"Moonee Valley City Council",-37.7215,144.8864,"Western Metropolitan",3464,500000
"75","Airport West",2,"t","VB",2016-06-04,13.5,"3042",2,1,1,321,81,1970,"Moonee Valley City Council",-37.8245,145.0527,"Western Metropolitan",3464,420000
"76","Airport West",3,"t","VB",2016-06-04,13.5,"3042",3,1,2,263,133,2014,"Moonee Valley City Council",-37.7168,144.9329,"Western Metropolitan",3464,500000
"77","Airport West",5,"h","S",2016-08-06,13.5,"3042",4,2,2,522,169,2015,"Moonee Valley City Council",-37.7497,144.8746,"Western Metropolitan",3464,1035000
"78","Airport West",4,"h","S",2016-08-06,13.5,"3042",4,2,2,263,169,2015,"Moonee Valley City Council",-37.716,144.9663,"Western Metropolitan",3464,960000
"79","Airport West",4,"h","S",2016-08-06,13.5,"3042",4,2,2,263,169,2015,"Moonee Valley City Council",-37.716,144.9663,"Western Metropolitan",3464,960000
"80","Airport West",3,"h","S",2016-08-06,13.5,"3042",2,1,1,620,76,1960,"Moonee Valley City Council",-37.7173,144.8872,"Western Metropolitan",3464,720000
"81","Airport West",4,"h","S",2016-08-06,13.5,"3042",3,1,2,597,127,1965,"Moonee Valley City Council",-37.7259,144.8792,"Western Metropolitan",3464,785000
"82","Airport West",6,"h","SP",2016-05-07,13.5,"3042",6,3,2,976,186,1980,"Moonee Valley City Council",-37.7239,144.8735,"Western Metropolitan",3464,725000
"83","Airport West",2,"t","S",2016-05-07,13.5,"3042",2,1,1,110,90,2015,"Moonee Valley City Council",-37.7216,144.871,"Western Metropolitan",3464,450000
"84","Airport West",2,"u","S",2016-11-07,13.5,"3042",2,1,1,141,73,2013,"Moonee Valley City Council",-37.7298,144.8883,"Western Metropolitan",3464,515000
"85","Airport West",3,"h","VB",2016-10-08,13.5,"3042",3,1,2,263,105,2014,"Moonee Valley City Council",-37.7307,144.9163,"Western Metropolitan",3464,680000
"86","Airport West",2,"u","S",2016-09-10,13.5,"3042",2,1,1,120,94,2012,"Moonee Valley City Council",-37.7234,144.8792,"Western Metropolitan",3464,530000
"87","Airport West",3,"h","PI",2016-09-10,13.5,"3042",3,1,5,1063,133,1975,"Moonee Valley City Council",-37.7249,144.8728,"Western Metropolitan",3464,895000
"88","Airport West",3,"u","VB",2016-09-10,13.5,"3042",3,1,2,263,133,2014,"Moonee Valley City Council",-37.7098,144.97239,"Western Metropolitan",3464,600000
"89","Airport West",3,"h","S",2016-12-10,13.5,"3042",3,1,1,0,105,1950,"Moonee Valley City Council",-37.7217,144.8783,"Western Metropolitan",3464,805000
"90","Airport West",3,"t","PI",2016-12-10,13.5,"3042",3,1,2,263,133,2014,"Moonee Valley City Council",-37.7307,144.9704,"Western Metropolitan",3464,760000
"91","Airport West",3,"u","S",2017-02-11,13.5,"3042",3,1,1,265,130,1993,"Moonee Valley City Council",-37.7302,144.8855,"Western Metropolitan",3464,752000
"92","Airport West",3,"u","VB",2016-11-12,13.5,"3042",3,1,2,263,133,2014,"Moonee Valley City Council",-37.7307,144.9704,"Western Metropolitan",3464,580000
"93","Airport West",3,"h","PI",2016-11-12,13.5,"3042",3,1,2,263,133,2014,"Moonee Valley City Council",-37.80594,144.8834,"Western Metropolitan",3464,725000
"94","Airport West",4,"h","S",2016-08-13,13.5,"3042",4,2,2,263,169,2015,"Moonee Valley City Council",-37.6127,145.0291,"Western Metropolitan",3464,758000
"95","Airport West",2,"u","S",2016-08-13,13.5,"3042",2,1,1,192,80,1986,"Moonee Valley City Council",-37.7177,144.8787,"Western Metropolitan",3464,440000
"96","Airport West",3,"h","S",2016-05-14,13.5,"3042",3,1,2,263,133,2014,"Moonee Valley City Council",-37.80594,145.0451,"Western Metropolitan",3464,970000
"97","Airport West",5,"h","PI",2016-05-14,13.5,"3042",3,2,2,596,169,1990,"Moonee Valley City Council",-37.7248,144.8699,"Western Metropolitan",3464,755000
"98","Airport West",4,"h","S",2016-10-15,13.5,"3042",4,2,2,263,169,2015,"Moonee Valley City Council",-37.7268,144.9663,"Western Metropolitan",3464,985000
"99","Airport West",3,"t","PI",2016-10-15,13.5,"3042",3,2,2,165,133,2009,"Moonee Valley City Council",-37.727,144.887,"Western Metropolitan",3464,700000
"100","Airport West",2,"u","SP",2016-10-15,13.5,"3042",2,1,1,321,81,1980,"Moonee Valley City Council",-37.82118,145.0009,"Western Metropolitan",3464,509500
"101","Airport West",3,"h","S",2016-04-16,13.5,"3042",3,1,2,971,113,1960,"Moonee Valley City Council",-37.7186,144.876,"Western Metropolitan",3464,830000
"102","Airport West",2,"u","S",2016-07-16,13.5,"3042",2,1,1,164,86,2003,"Moonee Valley City Council",-37.7218,144.8863,"Western Metropolitan",3464,462500
"103","Airport West",3,"h","SP",2016-07-16,13.5,"3042",3,2,2,657,169,2000,"Moonee Valley City Council",-37.7269,144.8742,"Western Metropolitan",3464,670000
"104","Airport West",2,"h","S",2016-07-16,13.5,"3042",2,1,1,612,100,1975,"Moonee Valley City Council",-37.7187,144.8765,"Western Metropolitan",3464,675000
"105","Airport West",3,"h","S",2016-07-16,13.5,"3042",3,2,5,612,174,1950,"Moonee Valley City Council",-37.7173,144.8796,"Western Metropolitan",3464,1042000
"106","Airport West",3,"h","S",2016-09-17,13.5,"3042",3,1,1,775,120,1940,"Moonee Valley City Council",-37.7231,144.8835,"Western Metropolitan",3464,910000
"107","Airport West",4,"h","S",2016-09-17,13.5,"3042",5,3,4,531,309,1980,"Moonee Valley City Council",-37.7263,144.8679,"Western Metropolitan",3464,773000
"108","Airport West",3,"h","S",2016-09-17,13.5,"3042",3,1,2,263,133,2014,"Moonee Valley City Council",-37.7098,145.001,"Western Metropolitan",3464,715000
"109","Airport West",3,"h","PI",2017-03-18,13.5,"3042",3,3,2,555,192,1980,"Moonee Valley City Council",-37.7285,144.8694,"Western Metropolitan",3464,810000
"110","Airport West",3,"h","S",2017-03-18,13.5,"3042",3,2,2,422,126,1995,"Moonee Valley City Council",-37.7164,144.8792,"Western Metropolitan",3464,715000
"111","Airport West",3,"h","S",2017-03-18,13.5,"3042",3,1,3,614,136,1955,"Moonee Valley City Council",-37.7194,144.8827,"Western Metropolitan",3464,790000
"112","Airport West",2,"t","VB",2016-06-18,13.5,"3042",2,1,1,321,81,1980,"Moonee Valley City Council",-37.7149,144.9985,"Western Metropolitan",3464,460000
"113","Airport West",3,"t","SP",2016-06-18,13.5,"3042",2,2,1,161,101,2010,"Moonee Valley City Council",-37.7231,144.8802,"Western Metropolitan",3464,540000
"114","Airport West",3,"t","SP",2016-11-19,13.5,"3042",3,2,1,293,102,1960,"Moonee Valley City Council",-37.72,144.8776,"Western Metropolitan",3464,825000
"115","Airport West",3,"h","S",2016-05-22,13.5,"3042",3,1,1,579,113,1975,"Moonee Valley City Council",-37.7226,144.8733,"Western Metropolitan",3464,685000
"116","Airport West",3,"u","S",2016-05-22,13.5,"3042",3,1,2,263,133,2014,"Moonee Valley City Council",-37.7307,144.9698,"Western Metropolitan",3464,445000
"117","Airport West",3,"h","S",2016-08-22,13.5,"3042",3,1,1,623,120,2003,"Moonee Valley City Council",-37.7184,144.882,"Western Metropolitan",3464,805000
"118","Airport West",2,"u","S",2016-08-22,13.5,"3042",2,1,1,141,76,2013,"Moonee Valley City Council",-37.7202,144.8797,"Western Metropolitan",3464,510000
"119","Airport West",3,"h","S",2016-08-22,13.5,"3042",3,2,1,212,148,1910,"Moonee Valley City Council",-37.7181,144.8824,"Western Metropolitan",3464,612000
"120","Airport West",3,"h","S",2016-04-23,13.5,"3042",3,1,2,612,94,1950,"Moonee Valley City Council",-37.7169,144.8815,"Western Metropolitan",3464,662000
"121","Airport West",4,"h","S",2016-09-24,13.5,"3042",4,3,2,532,287,2009,"Moonee Valley City Council",-37.7263,144.869,"Western Metropolitan",3464,978000
"123","Airport West",3,"h","PI",2017-02-25,13.5,"3042",3,1,1,585,120,1965,"Moonee Valley City Council",-37.72,144.878,"Western Metropolitan",3464,720000
"124","Airport West",2,"u","PI",2016-07-26,13.5,"3042",2,1,1,321,81,1980,"Moonee Valley City Council",-37.7518,144.9522,"Western Metropolitan",3464,474000
"125","Airport West",2,"t","SP",2016-07-26,13.5,"3042",2,1,1,321,81,2009,"Moonee Valley City Council",-37.71157,145.0097,"Western Metropolitan",3464,490000
"126","Airport West",3,"h","S",2016-06-27,13.5,"3042",3,1,2,263,133,2014,"Moonee Valley City Council",-37.7307,144.9704,"Western Metropolitan",3464,405000
"127","Airport West",3,"t","S",2016-11-27,13.5,"3042",3,1,2,263,133,2014,"Moonee Valley City Council",-37.7098,145.001,"Western Metropolitan",3464,715000
"128","Airport West",3,"u","S",2016-11-27,13.5,"3042",3,1,2,263,133,2014,"Moonee Valley City Council",-37.7307,144.9704,"Western Metropolitan",3464,671500
"129","Airport West",4,"h","S",2016-11-27,13.5,"3042",4,1,2,509,323,1955,"Moonee Valley City Council",-37.7261,144.8785,"Western Metropolitan",3464,765000
"130","Airport West",4,"h","S",2016-11-27,13.5,"3042",4,2,3,628,146,1975,"Moonee Valley City Council",-37.7256,144.8739,"Western Metropolitan",3464,900000
"131","Airport West",3,"u","S",2016-08-28,13.5,"3042",3,1,2,263,133,2014,"Moonee Valley City Council",-37.80594,145.0451,"Western Metropolitan",3464,820000
"132","Airport West",3,"u","PI",2016-07-30,13.5,"3042",3,1,2,263,133,2014,"Moonee Valley City Council",-37.7307,144.9826,"Western Metropolitan",3464,650000
"133","Airport West",3,"t","SP",2016-07-30,13.5,"3042",3,1,2,263,133,2014,"Moonee Valley City Council",-37.7307,144.9704,"Western Metropolitan",3464,552000
"134","Albert Park",2,"h","S",2016-09-03,3.3,"3206",2,1,0,120,82,1900,"Port Phillip City Council",-37.8459,144.9555,"Southern Metropolitan",3280,1275000
"135","Albert Park",2,"h","S",2016-09-03,3.3,"3206",2,1,0,159,76.77,1900,"Port Phillip City Council",-37.845,144.9538,"Southern Metropolitan",3280,1455000
"136","Albert Park",3,"h","PI",2017-03-04,3.3,"3206",3,2,0,211,198,1890,"Port Phillip City Council",-37.8481,144.9499,"Southern Metropolitan",3280,2850000
"137","Albert Park",3,"h","S",2017-03-04,3.3,"3206",3,2,0,128,133,1890,"Port Phillip City Council",-37.8452,144.9488,"Southern Metropolitan",3280,1850000
"139","Albert Park",2,"h","S",2017-03-04,3.3,"3206",2,1,0,130,81,1900,"Port Phillip City Council",-37.8431,144.9565,"Southern Metropolitan",3280,1436000
"141","Albert Park",2,"h","S",2016-08-06,3.3,"3206",1,1,0,147,84,1900,"Port Phillip City Council",-37.8444,144.9484,"Southern Metropolitan",3280,1110000
"142","Albert Park",2,"h","S",2016-05-07,3.3,"3206",2,1,1,167,88,1900,"Port Phillip City Council",-37.8405,144.9521,"Southern Metropolitan",3280,1550000
"143","Albert Park",4,"h","S",2016-05-07,3.3,"3206",4,2,1,153,180,1880,"Port Phillip City Council",-37.8447,144.9523,"Southern Metropolitan",3280,2300000
"145","Albert Park",3,"t","VB",2016-11-07,3.3,"3206",3,2,2,718,20,2000,"Port Phillip City Council",-37.8443,144.9598,"Southern Metropolitan",3280,1550000
"146","Albert Park",3,"h","VB",2016-11-07,3.3,"3206",3,2,1,132,159,1996,"Port Phillip City Council",-37.8415,144.952,"Southern Metropolitan",3280,1800000
"147","Albert Park",3,"h","S",2016-10-08,3.3,"3206",3,1,2,263,133,2014,"Port Phillip City Council",-37.87735,145.04636,"Southern Metropolitan",3280,2485000
"148","Albert Park",2,"h","S",2016-09-10,3.3,"3206",2,1,1,199,107,1900,"Port Phillip City Council",-37.8422,144.9554,"Southern Metropolitan",3280,2120000
"149","Albert Park",3,"h","VB",2016-09-10,3.3,"3206",3,1,1,253,120,1920,"Port Phillip City Council",-37.8443,144.9579,"Southern Metropolitan",3280,1800000
"150","Albert Park",3,"h","S",2016-09-10,3.3,"3206",3,2,1,90,122,1900,"Port Phillip City Council",-37.8421,144.9571,"Southern Metropolitan",3280,1800000
"152","Albert Park",2,"h","PI",2016-12-10,3.3,"3206",2,1,0,240,76.77,1900,"Port Phillip City Council",-37.8379,144.9539,"Southern Metropolitan",3280,1810000
"153","Albert Park",3,"h","S",2016-12-10,3.3,"3206",3,2,1,177,181,1880,"Port Phillip City Council",-37.8415,144.9585,"Southern Metropolitan",3280,2615000
"154","Albert Park",5,"h","S",2016-12-10,3.3,"3206",5,2,1,237,168,1920,"Port Phillip City Council",-37.8436,144.9557,"Southern Metropolitan",3280,2100000
"155","Albert Park",3,"h","S",2016-12-10,3.3,"3206",3,1,0,129,114,1910,"Port Phillip City Council",-37.8422,144.949,"Southern Metropolitan",3280,1300000
"156","Albert Park",3,"h","S",2016-06-12,3.3,"3206",3,2,2,0,85,2000,"Port Phillip City Council",-37.8451,144.9511,"Southern Metropolitan",3280,1370000
"157","Albert Park",2,"h","S",2016-11-12,3.3,"3206",2,1,0,288,76.77,1890,"Port Phillip City Council",-37.8407,144.9523,"Southern Metropolitan",3280,1000000
"159","Albert Park",3,"h","S",2016-10-15,3.3,"3206",3,2,1,228,126,1950,"Port Phillip City Council",-37.8445,144.9501,"Southern Metropolitan",3280,2575000
"160","Albert Park",2,"h","S",2016-10-15,3.3,"3206",2,1,0,149,98,1890,"Port Phillip City Council",-37.8443,144.9481,"Southern Metropolitan",3280,1322500
"162","Albert Park",2,"h","S",2016-10-15,3.3,"3206",2,1,0,141,83,1890,"Port Phillip City Council",-37.8424,144.9562,"Southern Metropolitan",3280,1562500
"163","Albert Park",3,"h","VB",2016-04-16,3.3,"3206",3,2,1,211,147,1900,"Port Phillip City Council",-37.847,144.9575,"Southern Metropolitan",3280,2000000
"166","Albert Park",3,"h","S",2017-03-18,3.3,"3206",3,1,0,209,106,1900,"Port Phillip City Council",-37.8468,144.9546,"Southern Metropolitan",3280,1900000
"167","Albert Park",3,"h","S",2017-03-18,3.3,"3206",3,2,0,147,146,1890,"Port Phillip City Council",-37.8473,144.9551,"Southern Metropolitan",3280,3010000
"169","Albert Park",4,"h","VB",2016-06-18,3.3,"3206",4,3,1,327,254,1910,"Port Phillip City Council",-37.8467,144.9475,"Southern Metropolitan",3280,2800000
"171","Albert Park",2,"u","S",2016-05-22,3.3,"3206",2,1,1,0,78,1990,"Port Phillip City Council",-37.846,144.9542,"Southern Metropolitan",3280,647000
"173","Albert Park",3,"h","SP",2016-04-23,3.3,"3206",2,1,1,120,123,1900,"Port Phillip City Council",-37.8427,144.9546,"Southern Metropolitan",3280,2100000
"177","Albert Park",3,"h","PI",2016-09-24,3.3,"3206",3,1,1,238,131,1890,"Port Phillip City Council",-37.8461,144.9528,"Southern Metropolitan",3280,2000000
"178","Albert Park",1,"u","S",2017-02-25,3.3,"3206",1,1,0,0,34,1970,"Port Phillip City Council",-37.8421,144.9517,"Southern Metropolitan",3280,442500
"179","Albert Park",4,"h","S",2017-02-25,3.3,"3206",4,2,1,330,207,1910,"Port Phillip City Council",-37.8477,144.9558,"Southern Metropolitan",3280,4735000
"180","Albert Park",2,"h","S",2017-02-25,3.3,"3206",2,1,0,136,76.77,1890,"Port Phillip City Council",-37.846,144.9517,"Southern Metropolitan",3280,1340000
"181","Albert Park",3,"h","S",2017-02-25,3.3,"3206",3,1,1,202,120,1960,"Port Phillip City Council",-37.8429,144.9493,"Southern Metropolitan",3280,1801000
"182","Albert Park",3,"h","S",2016-07-26,3.3,"3206",3,3,1,0,192,1890,"Port Phillip City Council",-37.8415,144.9585,"Southern Metropolitan",3280,1532000
"183","Albert Park",3,"h","S",2016-07-26,3.3,"3206",3,2,2,325,195,1995,"Port Phillip City Council",-37.8413,144.95,"Southern Metropolitan",3280,3755000
"184","Albert Park",4,"h","S",2016-06-27,3.3,"3206",3,2,1,183,145,1880,"Port Phillip City Council",-37.8434,144.9495,"Southern Metropolitan",3280,2140000
"185","Albert Park",2,"u","PI",2016-06-27,3.3,"3206",2,1,1,321,81,1960,"Port Phillip City Council",-37.8355,145.0589,"Southern Metropolitan",3280,1810000
"186","Albert Park",2,"h","S",2016-11-27,3.3,"3206",2,1,1,162,88,1900,"Port Phillip City Council",-37.8416,144.9488,"Southern Metropolitan",3280,1750000
"187","Albert Park",2,"h","S",2016-05-28,3.3,"3206",2,1,0,79,68,1890,"Port Phillip City Council",-37.8387,144.9519,"Southern Metropolitan",3280,980000
"191","Albert Park",3,"h","S",2016-08-28,3.3,"3206",3,2,0,152,180,1890,"Port Phillip City Council",-37.8488,144.9551,"Southern Metropolitan",3280,2030000
"192","Albert Park",3,"h","PI",2016-08-28,3.3,"3206",3,2,2,147,134,1890,"Port Phillip City Council",-37.8448,144.9453,"Southern Metropolitan",3280,1740000
"193","Albert Park",3,"h","VB",2016-07-30,3.3,"3206",3,3,1,0,192,1910,"Port Phillip City Council",-37.8399,144.9577,"Southern Metropolitan",3280,2800000
"194","Albert Park",1,"h","S",2016-07-30,3.3,"3206",1,1,0,81,54,1900,"Port Phillip City Council",-37.8411,144.9497,"Southern Metropolitan",3280,985000
"196","Alphington",4,"h","S",2016-09-03,6.4,"3078",3,2,4,853,263,1930,"Darebin City Council",-37.7707,145.0318,"Northern Metropolitan",2211,2000000
"197","Alphington",3,"h","S",2016-09-03,6.4,"3078",3,2,2,208,145,2013,"Darebin City Council",-37.7854,145.0325,"Northern Metropolitan",2211,1110000
"198","Alphington",3,"h","S",2017-03-04,6.4,"3078",3,2,2,411,27,1997,"Darebin City Council",-37.7713,145.0279,"Northern Metropolitan",2211,1492000
"199","Alphington",2,"u","PI",2016-05-07,6.4,"3078",2,1,1,321,81,1998,"Darebin City Council",-37.80452,145.0435,"Northern Metropolitan",2211,480000
"201","Alphington",3,"t","SP",2016-10-08,6.4,"3078",3,1,2,263,133,2014,"Darebin City Council",-37.8102,145.0451,"Northern Metropolitan",2211,1304000
